txn_id,user_id,timestamp,amount,currency,merchant_category,merchant_city,merchant_lat,merchant_lon,payment_method,is_fraud,fraud_type,fraud_note,hour_of_day,day_of_week,is_weekend,amount_rounded,inserted_at
TXN_N02819,USR_0283,2024-03-27 02:24:58,9196.66,INR,utility,Hyderabad,17.385,78.4867,Debit Card,0,none,,2,Wednesday,False,0,0
TXN_N04383,USR_0099,2024-08-27 03:46:31,559.03,INR,medical,Lucknow,26.8467,80.9462,Credit Card,0,none,,3,Tuesday,False,0,0
TXN_N07714,USR_0217,2024-05-26 16:26:12,48997.24,INR,travel,Ahmedabad,23.0225,72.5714,NEFT,0,none,,16,Sunday,True,0,0
TXN_N08167,USR_0004,2024-01-06 20:39:06,10541.92,INR,clothing,Kochi,9.9312,76.2673,NEFT,0,none,,20,Saturday,True,0,0
TXN_N04599,USR_0276,2024-08-15 14:59:49,5368.97,INR,groceries,Ahmedabad,23.0225,72.5714,Credit Card,0,none,,14,Thursday,False,0,0
TXN_N00953,USR_0449,2024-11-04 18:40:17,1538.96,INR,entertainment,Hyderabad,17.385,78.4867,Debit Card,0,none,,18,Monday,False,0,0
TXN_N04044,USR_0484,2024-12-11 19:04:52,5720.85,INR,groceries,Kochi,9.9312,76.2673,NEFT,0,none,,19,Wednesday,False,0,0
TXN_N03258,USR_0040,2024-12-16 16:42:28,7738.51,INR,groceries,Mumbai,19.076,72.8777,Debit Card,0,none,,16,Monday,False,0,0
TXN_N08315,USR_0295,2024-08-24 04:19:59,7606.44,INR,groceries,Kochi,9.9312,76.2673,NEFT,0,none,,4,Saturday,True,0,0
TXN_F00980,USR_0065,2024-09-06 05:02:13,30455.36,USD,electronics,Hong Kong,22.3193,114.1694,Credit Card,1,foreign_transaction,"Foreign txn in Hong Kong, home city: Surat",5,Friday,False,0,0
TXN_N00108,USR_0206,2024-10-09 17:42:18,5287.61,INR,groceries,Ahmedabad,23.0225,72.5714,UPI,0,none,,17,Wednesday,False,0,0
TXN_F00409,USR_0346,2024-03-20 00:56:42,1333910.65,INR,electronics,Delhi,28.6139,77.209,Credit Card,1,amount_spike,"Spike ₹1,333,911 vs typical max ₹69,037",0,Wednesday,False,0,0
TXN_N05643,USR_0049,2024-08-14 14:52:03,1961.64,INR,groceries,Pune,18.5204,73.8567,UPI,0,none,,14,Wednesday,False,0,0
TXN_N00714,USR_0381,2024-04-04 11:24:00,69043.4,INR,electronics,Ahmedabad,23.0225,72.5714,UPI,0,none,,11,Thursday,False,0,0
TXN_N03796,USR_0133,2024-09-22 03:34:58,2110.46,INR,clothing,Hyderabad,17.385,78.4867,Credit Card,0,none,,3,Sunday,True,0,0
TXN_F00008_1,USR_0053,2024-05-22 23:26:13,555.26,INR,online_shopping,Pune,18.5204,73.8567,Credit Card,1,velocity_abuse,Txn 2 of 6 within 8-min window,23,Wednesday,False,0,0
TXN_N00312,USR_0315,2024-09-02 14:11:44,801.64,INR,restaurant,Surat,21.1702,72.8311,NEFT,0,none,,14,Monday,False,0,0
TXN_N00966,USR_0332,2024-01-18 21:53:19,8869.78,INR,clothing,Bengaluru,12.9716,77.5946,UPI,0,none,,21,Thursday,False,0,0
